,Postcode,PC_Area,Target,Population aged 65+,Females aged 65-69,Females aged 65+,Females aged 70-74,Females aged 75-79,Females aged 80-84,Females aged 85-89,Females aged 90-94,Females aged 95_99,Females aged 100+,Males aged 65-69,Males aged 65+,Males aged 70-74,Males aged 75-79,Males aged 80-84,Males aged 85-89,Males aged 90-94,Males aged 95-99,Males aged 100+,Females aged under 25,Females aged 25-44,Females aged 45-65,Males aged under 25,Males aged 25-44,Males aged 45-65,Mean Income,Median Income,Mode Income,Lower Quartile
1386,SW1V1PJ,SW,0,19,2,11,2,2,3,1,1,0,0,1,8,5,0,1,1,0,0,0,7,9,12,9,18,9,66900,59403.50877,110000,38230.24055
1387,SW1V1PP,SW,0,4,1,2,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,3,4,1,4,2,59800,52704.91803,42500,33787.87879
1388,SW1V1QB,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,63200,57083.33333,42500,37500
1389,SW1V1QD,SW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34400,30000,17500,19166.66667
1390,SW1V1QH,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,51900,45714.28571,32500,29090.90909
1391,SW1V1QJ,SW,0,6,1,3,2,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,2,5,4,3,12,5,63600,56428.57143,47500,36380.59701
1392,SW1V1QL,SW,1,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,4,2,3,7,3,60500,52857.14286,42500,33470.58824
1393,SW1V1QN,SW,1,8,1,5,1,1,1,1,0,0,0,2,3,1,0,0,0,0,0,0,9,11,8,7,17,7,67100,59652.77778,110000,38227.27273
1394,SW1V1QP,SW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,2,2,5,2,47000,39696.9697,22500,23961.03896
1395,SW1V1QR,SW,1,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,7,4,3,9,3,64700,57792.79279,110000,37675.4386
1396,SW1V1QS,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,5,2,59100,51538.46154,32500,32000
1397,SW1V1QT,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,4,2,55300,49326.92308,42500,32596.15385
1398,SW1V1QW,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,3,0,50100,43870.96774,32500,28225.80645
1399,SW1V1RB,SW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,4,0,59100,52656.25,42500,34393.93939
1400,SW1V1RG,SW,0,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,7,5,4,8,3,57700,50721.15385,32500,32307.69231
1401,SW1V1RP,SW,0,11,2,5,2,0,1,0,0,0,0,2,6,1,1,2,0,0,0,0,2,7,5,4,9,7,66900,59661.01695,110000,38403.36134
1402,SW1V1RR,SW,0,15,3,6,3,0,0,0,0,0,0,3,9,2,1,3,0,0,0,0,5,13,10,6,14,11,61500,54337.12121,42500,35072.46377
1403,SW1V1RX,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,2,9,3,57000,50000,32500,31868.68687
1404,SW1V1RY,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,6,2,60600,53522.72727,42500,34782.6087
1405,SW1V1RZ,SW,0,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,6,3,3,7,3,57500,51310.67961,42500,33423.42342
1406,SW1V1SB,SW,0,3,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,4,4,5,4,5,4,58300,50722.89157,32500,31927.08333
1407,SW1V1SD,SW,0,8,1,5,1,1,1,1,0,0,0,1,3,1,1,0,0,0,0,0,5,9,7,5,10,6,63500,56379.31034,110000,35483.87097
1408,SW1V1SH,SW,0,4,1,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,9,4,8,10,6,52700,46525.42373,32500,29833.33333
1409,SW1V1SN,SW,0,5,1,3,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,5,8,5,7,9,6,37500,32284.26396,17500,19933.62832
1410,SW1V1SW,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,4,2,58300,51578.94737,42500,33387.09677
1411,SW1V1TA,SW,0,3,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,3,0,4,4,41000,36071.42857,22500,22806.12245
1412,SW1V1TB,SW,0,3,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,3,0,3,4,35900,31010.6383,17500,19107.14286
1413,SW1V1TD,SW,0,3,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,5,0,4,5,30900,25787.40157,17500,15706.21469
1414,SW1V1TE,SW,0,4,1,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,5,1,4,6,29100,25401.23457,17500,16490.38462
1415,SW1V1TG,SW,0,4,1,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,5,2,4,7,29800,24779.87421,17500,15298.91304
1416,SW1V1TH,SW,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,4,26700,22401.96078,17500,13951.6129
1417,SW1V1TJ,SW,0,3,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,2,4,26400,19900,12500,12183.40611
1418,SW1V1TL,SW,0,3,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,4,0,4,4,34600,27184.87395,12500,15681.81818
1419,SW1V1TN,SW,0,3,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,5,0,4,4,30300,25113.63636,17500,15621.62162
1420,SW1V1TQ,SW,0,3,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,3,0,4,4,40900,35283.01887,22500,22251.9084
1421,SW1V2AA,SW,0,14,0,7,3,1,1,1,1,0,0,3,7,1,1,1,1,0,0,0,10,19,17,12,29,11,58800,50918.11414,32500,32173.44754
1422,SW1V2AB,SW,0,15,1,8,3,1,1,1,1,0,0,2,7,2,2,0,0,1,0,0,9,17,13,8,18,10,65400,58007.24638,110000,37301.03806
1423,SW1V2AD,SW,0,7,2,3,1,0,0,0,0,0,0,1,4,1,1,1,0,0,0,0,5,14,7,4,16,5,60200,52635.86957,42500,33226.60099
1424,SW1V2AJ,SW,0,16,2,9,2,2,1,1,0,1,0,2,7,2,2,1,0,0,0,0,12,16,15,16,12,14,64000,56465.20147,110000,35962.83784
1425,SW1V2AL,SW,0,15,2,10,2,2,1,2,0,1,0,2,5,1,2,0,0,0,0,0,8,14,13,14,13,13,62600,55763.63636,47500,36241.4966
1426,SW1V2AP,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,4,0,73900,66363.63636,110000,44078.94737
1427,SW1V2AQ,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,80000,74166.66667,110000,53333.33333
1428,SW1V2AR,SW,0,15,0,7,3,1,1,1,1,0,0,3,8,1,1,1,1,1,0,0,9,19,17,13,28,11,55900,48326.73267,32500,30189.53069
1429,SW1V2BA,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,37500,32500,17500,20454.54545
1430,SW1V2BB,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,0,52500,44574.46809,32500,27115.38462
1431,SW1V2BE,SW,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,5,3,1,4,3,44700,39020.61856,22500,24579.43925
1432,SW1V2BG,SW,0,6,2,3,0,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0,4,10,8,5,14,8,54200,47723.73541,32500,30471.01449
1433,SW1V2BH,SW,0,11,3,5,1,1,0,0,0,0,0,2,6,2,1,1,0,0,0,0,6,23,6,5,31,10,53500,46714.97585,32500,29917.25768
1434,SW1V2BJ,SW,0,15,0,7,2,1,2,1,1,0,0,3,8,2,1,1,1,0,0,0,13,40,11,10,40,9,62300,54925.21368,42500,35153.06122
1435,SW1V2BL,SW,0,4,0,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,12,30,7,9,36,14,56800,50069.44444,32500,32249.48875
1436,SW1V2BP,SW,0,3,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,6,8,4,2,9,4,61600,55035.46099,47500,35690.78947
1437,SW1V2BQ,SW,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,7,3,1,8,3,55500,49107.14286,32500,31594.82759
1438,SW1V2DA,SW,0,4,1,2,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,5,7,6,5,5,5,55300,48771.18644,32500,31250
1439,SW1V2DB,SW,0,22,8,15,1,3,1,2,0,0,0,4,7,1,1,1,0,0,0,0,21,52,23,17,77,25,48400,42406.54206,32500,26419.32701
1440,SW1V2DD,SW,0,11,2,5,1,2,0,0,0,0,0,1,6,4,0,0,1,0,0,0,5,12,7,5,14,7,46100,39746.83544,22500,24492.4812
1441,SW1V2DH,SW,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,4,1,61100,54181.81818,42500,34642.85714
1442,SW1V2DJ,SW,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,4,1,49700,43951.6129,32500,28225.80645
1443,SW1V2DL,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,2,1,64100,57380.95238,110000,37674.4186
1444,SW1V2DN,SW,0,31,7,15,2,4,1,1,0,0,0,3,16,9,1,0,2,1,0,0,16,22,20,13,29,19,61300,53987.73006,42500,34280.23033
1445,SW1V2DP,SW,0,14,2,8,2,1,2,1,0,0,0,1,6,3,1,1,0,0,0,0,6,13,12,7,16,14,33500,28157.38964,17500,17086.43815
1446,SW1V2DR,SW,0,16,4,9,2,1,1,1,0,0,0,4,7,1,0,2,0,0,0,0,7,9,15,3,21,17,27000,22315.78947,12500,13675.05995
1447,SW1V2DS,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,6,0,50200,42364.86486,22500,25581.39535
1448,SW1V2DU,SW,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,4,0,3,2,61600,54729.72973,42500,35394.73684
1449,SW1V2DX,SW,0,3,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,9,3,2,9,4,63200,55989.01099,47500,36060.60606
1450,SW1V2DY,SW,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,7,5,3,8,4,57100,47931.03448,22500,28345.58824
1451,SW1V2DZ,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,4,0,54900,48515.625,32500,31417.91045
1452,SW1V2EA,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,4,2,62800,55357.14286,42500,35241.93548
1453,SW1V2ED,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,42800,38333.33333,22500,24444.44444
1454,SW1V2EE,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,43000,38333.33333,22500,24444.44444
1455,SW1V2EH,SW,0,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,4,2,3,7,3,69400,62254.90196,110000,41037.73585
1456,SW1V2EJ,SW,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,4,1,49300,42077.92208,32500,25852.27273
1457,SW1V2EL,SW,0,4,1,2,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,5,9,7,5,12,4,71000,63821.13821,110000,41935.48387
1458,SW1V2EN,SW,0,7,1,4,1,1,0,1,0,0,0,1,3,1,1,0,0,0,0,0,5,8,6,4,9,5,61600,54137.93103,42500,33928.57143
1459,SW1V2ER,SW,0,6,1,2,0,1,0,0,0,0,0,1,4,1,1,1,0,0,0,0,13,27,12,12,29,9,53700,47047.93028,32500,29766.94915
1460,SW1V2EU,SW,0,15,3,7,2,0,2,0,0,0,0,2,8,5,1,0,0,0,0,0,10,15,12,4,20,14,53900,46194.44444,32500,28428.92768
1461,SW1V2EX,SW,0,16,2,7,3,1,1,0,0,0,0,2,9,2,1,3,1,0,0,0,10,25,16,12,33,13,61400,53877.55102,42500,34170.61611
1462,SW1V2EY,SW,0,14,3,7,1,1,1,1,0,0,0,1,7,4,1,1,0,0,0,0,3,18,11,5,10,13,33300,28221.75732,17500,17529.51096
1463,SW1V2EZ,SW,0,5,0,1,1,0,0,0,0,0,0,1,4,2,0,0,1,0,0,0,2,5,4,2,4,4,33200,27796.61017,17500,17321.42857
1464,SW1V2HA,SW,0,19,1,5,3,0,1,0,0,0,0,3,14,7,1,0,2,1,0,0,11,20,18,10,26,20,38800,32812.983,17500,20000
1465,SW1V2HB,SW,0,20,4,10,2,1,2,0,1,0,0,2,10,7,1,0,0,0,0,0,12,16,15,3,19,16,46300,39605.26316,22500,24346.15385
1466,SW1V2HE,SW,0,5,1,2,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,4,6,4,1,5,4,40400,33828.57143,17500,20566.50246
1467,SW1V2HF,SW,0,4,1,2,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,7,10,4,6,12,6,60100,52683.61582,32500,33112.2449
1468,SW1V2HJ,SW,0,13,2,7,2,1,1,1,0,0,0,2,6,1,2,1,0,0,0,0,2,6,6,2,10,8,54700,47846.53465,32500,30622.11982
1469,SW1V2HL,SW,0,10,2,5,2,0,1,0,0,0,0,1,5,1,2,1,0,0,0,0,0,6,6,2,8,6,64700,57737.22628,47500,38071.42857
1470,SW1V2HN,SW,0,7,1,3,2,0,0,0,0,0,0,1,4,1,1,1,0,0,0,0,0,6,4,1,7,5,62100,55094.33962,47500,36000
1471,SW1V2HP,SW,0,5,1,2,1,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,4,17,10,6,21,9,59600,52313.16726,42500,33064.51613
1472,SW1V2HS,SW,0,12,2,7,2,1,1,1,0,0,0,1,5,1,2,1,0,0,0,0,1,6,6,2,8,7,65700,57753.62319,110000,36066.66667
1473,SW1V2HT,SW,0,9,1,4,1,1,1,0,0,0,0,2,5,1,1,1,0,0,0,0,3,6,5,2,6,5,63500,56812.08054,47500,37337.66234
1474,SW1V2HU,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,62700,55517.24138,42500,35967.74194
1475,SW1V2HW,SW,0,17,2,9,3,1,2,1,0,0,0,2,8,2,2,1,1,0,0,0,3,10,7,4,12,10,60200,52270.6422,32500,32987.80488
1476,SW1V2HX,SW,0,18,2,6,2,1,1,0,0,0,0,2,12,3,1,3,1,1,1,0,13,34,20,13,41,22,62400,55249.00398,47500,35754.54545
1477,SW1V2JD,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,1,2,3,52000,46272.72727,32500,30948.27586
1478,SW1V2JS,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,5,0,60200,53200,42500,34339.62264
1479,SW1V2JT,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,4,0,53300,46574.07407,32500,29298.24561
1480,SW1V2JX,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,20900,18421.05263,12500,12000
1481,SW1V2LB,SW,0,7,1,3,0,0,2,0,0,0,0,1,4,0,0,1,1,1,0,0,3,5,3,3,7,6,45000,39000,22500,23595.04132
1482,SW1V2LD,SW,0,9,2,6,1,1,2,0,0,0,0,0,3,1,1,1,0,0,0,0,6,6,6,4,10,5,45200,38551.91257,22500,23105.02283
1483,SW1V2LE,SW,0,41,8,26,4,6,6,2,0,0,0,1,15,5,3,4,1,0,1,0,24,19,20,20,36,21,43400,37175.14124,22500,23118.02233
1484,SW1V2LF,SW,0,19,3,10,3,1,1,1,0,1,0,2,9,2,3,2,0,0,0,0,12,12,12,12,12,14,35000,29972.97297,17500,18467.9878
1485,SW1V2LL,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,6,1,57600,51307.69231,42500,33550.72464
1486,SW1V2LN,SW,0,5,1,3,1,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,8,10,6,4,11,6,62100,54083.96947,110000,33645.83333
1487,SW1V2LP,SW,0,5,1,3,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,9,10,6,4,14,8,57200,50048.07692,32500,31945.60669
1488,SW1V2LS,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,63200,56470.58824,110000,36111.11111
1489,SW1V2LT,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,4,1,68200,61888.88889,110000,40217.3913
1490,SW1V2LU,SW,0,5,1,3,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,9,10,6,5,15,6,57000,49578.94737,32500,31650
1491,SW1V2LX,SW,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,3,8,4,65200,58217.3913,110000,37649.57265
1492,SW1V2LY,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,4,9,3,67900,60904.25532,110000,39408.60215
1493,SW1V2NA,SW,0,5,1,1,0,0,0,0,0,0,0,1,4,1,1,1,0,0,0,0,10,21,11,8,25,7,58800,51478.59922,32500,32491.34948
1494,SW1V2NB,SW,0,6,2,3,0,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0,4,13,10,5,17,8,60700,52916.66667,32500,33074.86631
1495,SW1V2ND,SW,0,11,3,6,1,1,1,0,0,0,0,2,5,1,1,1,0,0,0,0,3,21,4,3,29,9,68600,61566.52361,110000,39977.97357
1496,SW1V2NE,SW,0,13,2,8,1,2,1,0,1,1,0,1,5,1,1,1,0,1,0,0,6,26,7,14,26,8,56300,48845.1087,32500,30871.21212
1497,SW1V2NF,SW,0,27,5,15,1,4,2,1,1,0,1,2,12,4,4,2,0,0,0,0,9,19,18,12,23,16,43700,37799.53917,22500,23277.8865
1498,SW1V2NG,SW,0,12,3,6,0,2,1,0,0,0,0,1,6,2,2,1,0,0,0,0,5,11,9,6,13,9,29100,22836.13445,12500,13916.25616
1499,SW1V2NH,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,68200,61304.34783,110000,40416.66667
1500,SW1V2NL,SW,0,8,1,4,3,0,0,0,0,0,0,2,4,1,1,0,0,0,0,0,6,21,14,7,17,12,69700,62354.36893,110000,40162.7907
1501,SW1V2NN,SW,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,1,6,4,55700,48739.13043,32500,30894.30894
1502,SW1V2NP,SW,0,4,0,2,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,4,16,9,3,12,8,56900,49779.41176,32500,31150.23474
1503,SW1V2NR,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,1,72500,65526.31579,110000,43181.81818
1504,SW1V2NS,SW,0,15,4,9,1,2,1,1,0,0,0,1,6,3,1,1,0,0,0,0,7,19,19,10,21,12,67200,60079.61783,110000,39148.26498
1505,SW1V2NT,SW,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,3,3,64700,57830.18868,110000,37962.96296
1506,SW1V2NU,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,3,1,64000,56944.44444,47500,37297.2973
1507,SW1V2NX,SW,0,7,2,4,1,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,2,9,8,5,9,5,66600,59405.59441,110000,38680.55556
1508,SW1V2NY,SW,0,6,1,2,1,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,4,15,5,5,18,6,65200,58246.0733,110000,37933.67347
1509,SW1V2NZ,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,1,61900,54333.33333,42500,34843.75
1510,SW1V2PB,SW,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5,3,2,5,3,57200,48660.71429,32500,29836.06557
1511,SW1V2PD,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,3,1,68400,61222.22222,110000,40312.5
1512,SW1V2PE,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,1,59800,52500,42500,33484.84848
1513,SW1V2PW,SW,0,12,2,7,1,3,1,0,0,0,0,1,5,1,2,1,0,0,0,0,9,15,11,12,18,13,47300,40914.63415,32500,25129.58963
1514,SW1V2PX,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,4,3,40100,35368.42105,22500,22657.65766
1515,SW1V2QB,SW,0,31,3,16,6,3,1,1,1,1,0,2,15,4,3,2,3,1,0,0,8,7,13,8,9,9,14700,12980.56156,7500,8342.231714
1516,SW1V2QD,SW,0,21,2,11,4,2,1,1,1,0,0,1,10,3,2,1,2,1,0,0,6,4,8,4,6,5,20100,16704.68948,12500,10640.08395
1517,SW1V2QE,SW,0,52,4,26,10,4,2,2,3,1,0,3,26,7,6,3,4,2,1,0,13,9,21,13,12,13,50700,44477.35192,32500,26440.39735
1518,SW1V2QF,SW,0,15,1,8,3,1,1,1,1,0,0,1,7,2,2,1,1,0,0,0,6,4,7,3,4,5,38600,31925.92593,17500,19171.27072
1519,SW1V2QP,SW,0,12,0,6,1,4,1,0,0,0,0,1,6,2,2,1,0,0,0,0,13,21,12,12,24,18,37700,32107.02341,17500,19470.82768
1520,SW1V2QR,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,2,4,3,36000,29810.12658,17500,18157.89474
1521,SW1V2QS,SW,0,8,1,5,1,2,1,0,0,0,0,1,3,1,0,0,1,0,0,0,10,11,9,6,12,7,35400,29430.14706,17500,17859.23754
1522,SW1V2QT,SW,0,4,1,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,6,6,3,7,4,40400,34675.67568,17500,21159.42029
1523,SW1V2RD,SW,0,25,4,12,2,3,2,1,0,0,0,5,13,3,2,1,1,1,0,0,11,25,20,14,35,20,66400,59285.71429,110000,38507.97267
1524,SW1V2RF,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,44100,38281.25,22500,23750
1525,SW1V2RG,SW,0,3,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,8,6,4,12,8,67100,59950,110000,38514.85149
1526,SW1V2RL,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,2,55400,50119.04762,42500,33522.72727
1527,SW1V2RP,SW,0,9,1,5,1,1,1,1,0,0,0,2,4,1,1,0,0,0,0,0,6,14,10,8,21,11,47300,40844.44444,22500,24405.20446
1528,SW1V2RQ,SW,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,7,4,44000,36920,17500,22215.18987
1529,SW1V2RR,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,31000,27272.72727,17500,17500
1530,SW1V2RT,SW,0,17,2,11,2,1,3,2,1,0,0,2,6,0,1,1,1,1,0,0,3,7,8,4,10,8,21500,17627.40657,12500,11254.92126
1531,SW1V2RU,SW,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,4,4,2,6,3,48900,42926.82927,32500,27068.96552
1532,SW1V2SD,SW,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,64100,56607.14286,110000,35833.33333
1533,SW1V2SE,SW,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,5,5,3,9,4,30100,23553.45912,17500,14550.26455
1534,SW1V2SP,SW,0,28,4,20,7,3,0,5,1,0,0,4,8,2,2,0,0,0,0,0,6,13,12,9,17,16,41200,34721.54964,17500,20732.48408
1535,SW1V2SR,SW,0,19,4,11,0,3,2,1,1,0,0,1,8,3,3,1,0,0,0,0,8,17,15,9,20,14,34900,29760.72607,17500,18331.02493
1536,SW1V2SU,SW,0,24,3,13,2,1,5,1,1,0,0,2,11,0,1,2,4,2,0,0,10,14,8,14,21,16,36700,31203.55412,17500,19133.50449
1537,SW1V2SW,SW,0,22,3,15,5,2,1,4,0,0,0,3,7,2,2,0,0,0,0,0,4,11,9,6,15,12,29900,24394.95798,17500,15028.32861
1538,SW1V2SX,SW,0,13,2,7,1,1,3,0,0,0,0,1,6,0,0,1,3,1,0,0,6,8,5,9,14,10,36200,31313.77551,17500,19561.96581
1539,SW1V2SY,SW,0,38,6,17,5,1,3,2,0,0,0,3,21,5,7,4,1,1,0,0,22,26,23,26,27,30,24500,19585.85859,12500,12024.09639
1540,SW1V2TA,SW,0,7,1,4,1,1,1,0,0,0,0,1,3,1,0,1,0,0,0,0,8,14,6,10,17,8,31300,27398.19005,17500,17607.47664
1541,SW1V2TG,SW,0,14,2,9,2,3,1,0,1,0,0,1,5,1,2,1,0,0,0,0,9,21,12,15,24,14,39600,33333.33333,17500,19493.04175
1542,SW1V2TH,SW,0,10,2,6,1,2,1,0,0,0,0,1,4,1,1,0,1,0,0,0,14,14,12,8,16,10,38800,33268.76513,17500,20531.91489
1543,SW1V2TQ,SW,0,7,1,3,1,1,0,0,0,0,0,1,4,1,1,1,0,0,0,0,7,13,7,9,15,8,29900,24924.49664,17500,15390.17341
1544,SW1V3AB,SW,0,17,3,11,2,1,2,2,1,0,0,4,6,1,0,0,0,1,0,0,10,15,9,16,12,10,34300,28337.23653,17500,16795.77465
1545,SW1V3AD,SW,0,22,4,14,2,2,3,2,1,0,0,5,8,1,0,0,1,1,0,0,14,18,11,19,16,12,31200,25103.68664,12500,14829.45736
1546,SW1V3AE,SW,0,6,0,5,2,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,7,6,6,5,5,5,62100,54505.49451,110000,33939.39394
1547,SW1V3AF,SW,0,28,3,16,2,2,3,4,2,0,0,3,12,4,1,2,1,1,0,0,18,13,18,21,19,10,36300,30376.34409,17500,17696.07843
1548,SW1V3AH,SW,0,12,2,7,1,2,1,1,0,0,0,2,5,1,1,1,0,0,0,0,9,10,10,7,12,8,25700,20304.34783,12500,12462.57485
1549,SW1V3AN,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,7,4,59500,53175.67568,42500,34102.5641
